Ruta,Tractocamión,Prob_vacio
WM CEDIS CHALCO/ALPURA - PGL,T459,0.5054198535843331
WM BODEGA REMOTA AYOTLA/WM CEDIS CHALCO,T736,0.4995128123342963
"MEGAEMPACK, QRO/MEGA EMPACK, SAN LUIS",T522,0.49700312359036986
"PLANTA JDV LAGOS DE MORENO/ARCA CONTINETAL, TLAQUEPAQUE",T699,0.4970556223381664
DESCONSOLIDADOR GAL MERIDA/WM CEDIS PERECEDERO VHSA,T644,0.5076100270612006
BODEGA IZTAPALAPA NORTE/MACROCEDIS ALPURA,T423,0.5190119057753855
WM CEDIS CHALCO/COMERCIALIZADORA EL ORO,T416,0.5054091162888142
"MEGA EMPACK,QUERETARO/LA MADRILEÑA, SAN JUAN DEL RIO",T659,0.504063551250541
CONSERVAS LA COSTENA/WM CEDIS CHALCO,T408,0.5083467636517762
DIST ARCACONTAL MATAMOROS/CEDIS CHEP SMO,T699,0.49845727281849306
SUPER CENTER POLIGONO/WM CEDIS PERECEDERO VHSA,T607,0.5178086428614028
BODEGA AURRERA KABAH/WM CEDIS MID TEYA,T510,0.5136091781915506
WM CEDIS CHALCO/PATIO TIP PERAL,T680,0.508876193816285
CEDIS JDV LA TORRE/PROPIMEX TLANEPANTLA,T694,0.4986399009498963
"LA MADRILEÑA, SAN JUAN DEL RIO/MEGAEMPACK, QRO",T477,0.49875838848598847
BODEGA LA PAZ/KIMBERLY TEPOTZOTLAN,T390,0.49879592657285377
WM CEDIS CHALCO/KIMBERLY CLARK ECATEPEC,T443,0.5049648671303405
WM PATIO HUB PUEBLA/WM CEDIS CHALCO,T393,0.5209486750945419
CEDIS PERECEDEROS VHS/CEDIS WM MTY - LAREDO,T662,0.499641327886884
CEDIS MID TEYA/HENKEL,T571,0.49971056659556223
WM CEDIS CHALCO/PATIO HUB MORELOS,T729,0.514914318018228
MEXIQUENSE PARK UNILEVER/WM CEDIS MID TEYA,T561,0.5143013699793714
WM LAS ANTENAS/WM CEDIS CHALCO,T648,0.5102558329997786
SAMS CLUB ACOXPA/FABRICA DE JABON LA CORONA,T481,0.5179649558015303
WM VILLA COAPA/CONSERVAS LA COSTENA,T726,0.5000789215794802
WM TLAHUAC/BKHL COMPANIA PROCTER VALLEJO,T718,0.5223840529398078
